Compound,Date,Media Source,Negative,Neutral,Positive,Tweet,Tweets Ago
0.784,Thu Mar 29 08:00:12 +0000 2018,BBC,0.655,0.0,0.345,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031,1
0.0,Thu Mar 29 07:27:07 +0000 2018,BBC,1.0,0.0,0.0,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi,2
0.0,Thu Mar 29 07:00:10 +0000 2018,BBC,1.0,0.0,0.0,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m",3
0.0,Wed Mar 28 18:00:05 +0000 2018,BBC,1.0,0.0,0.0,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW,4
0.296,Wed Mar 28 17:00:12 +0000 2018,BBC,0.891,0.0,0.109,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N",5
-0.8225,Wed Mar 28 16:30:00 +0000 2018,BBC,0.688,0.312,0.0,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP,6
0.0,Wed Mar 28 16:00:10 +0000 2018,BBC,1.0,0.0,0.0,Slacking off in Dubai. https://t.co/a3oSKIxfSK,7
0.7506,Wed Mar 28 15:35:27 +0000 2018,BBC,0.72,0.0,0.28,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…,8
0.0,Wed Mar 28 13:32:04 +0000 2018,BBC,1.0,0.0,0.0,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1",9
-0.3182,Wed Mar 28 12:26:01 +0000 2018,BBC,0.887,0.113,0.0,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO",10
0.0,Wed Mar 28 11:50:54 +0000 2018,BBC,1.0,0.0,0.0,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…,11
0.0,Wed Mar 28 11:49:07 +0000 2018,BBC,1.0,0.0,0.0,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…",12
0.0,Wed Mar 28 11:47:35 +0000 2018,BBC,1.0,0.0,0.0,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…",13
-0.34,Wed Mar 28 11:47:08 +0000 2018,BBC,0.902,0.098,0.0,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…",14
0.0,Wed Mar 28 11:45:32 +0000 2018,BBC,1.0,0.0,0.0,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…,15
0.0,Wed Mar 28 11:42:34 +0000 2018,BBC,1.0,0.0,0.0,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…,16
0.3182,Wed Mar 28 11:30:09 +0000 2018,BBC,0.837,0.056,0.108,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3,17
0.0,Wed Mar 28 11:04:03 +0000 2018,BBC,1.0,0.0,0.0,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu",18
0.0,Wed Mar 28 10:53:47 +0000 2018,BBC,1.0,0.0,0.0,"RT @bbcthree: In our latest doc, we investigate allegations that R Kelly has been training a 14-year-old girl to be one his sex ""pets"" http…",19
-0.3612,Wed Mar 28 10:33:03 +0000 2018,BBC,0.865,0.135,0.0,Tickling sticks have been placed on statues in Liverpool ahead of Sir Ken Dodd's funeral. https://t.co/pPGGg07ZQi https://t.co/LSwzv5Qipw,20
0.784,Thu Mar 29 08:00:12 +0000 2018,BBC,0.655,0.0,0.345,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031,21
0.0,Thu Mar 29 07:27:07 +0000 2018,BBC,1.0,0.0,0.0,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi,22
0.0,Thu Mar 29 07:00:10 +0000 2018,BBC,1.0,0.0,0.0,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m",23
0.0,Wed Mar 28 18:00:05 +0000 2018,BBC,1.0,0.0,0.0,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW,24
0.296,Wed Mar 28 17:00:12 +0000 2018,BBC,0.891,0.0,0.109,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N",25
-0.8225,Wed Mar 28 16:30:00 +0000 2018,BBC,0.688,0.312,0.0,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP,26
0.0,Wed Mar 28 16:00:10 +0000 2018,BBC,1.0,0.0,0.0,Slacking off in Dubai. https://t.co/a3oSKIxfSK,27
0.7506,Wed Mar 28 15:35:27 +0000 2018,BBC,0.72,0.0,0.28,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…,28
0.0,Wed Mar 28 13:32:04 +0000 2018,BBC,1.0,0.0,0.0,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1",29
-0.3182,Wed Mar 28 12:26:01 +0000 2018,BBC,0.887,0.113,0.0,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO",30
0.0,Wed Mar 28 11:50:54 +0000 2018,BBC,1.0,0.0,0.0,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…,31
0.0,Wed Mar 28 11:49:07 +0000 2018,BBC,1.0,0.0,0.0,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…",32
0.0,Wed Mar 28 11:47:35 +0000 2018,BBC,1.0,0.0,0.0,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…",33
-0.34,Wed Mar 28 11:47:08 +0000 2018,BBC,0.902,0.098,0.0,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…",34
0.0,Wed Mar 28 11:45:32 +0000 2018,BBC,1.0,0.0,0.0,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…,35
0.0,Wed Mar 28 11:42:34 +0000 2018,BBC,1.0,0.0,0.0,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…,36
0.3182,Wed Mar 28 11:30:09 +0000 2018,BBC,0.837,0.056,0.108,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3,37
0.0,Wed Mar 28 11:04:03 +0000 2018,BBC,1.0,0.0,0.0,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu",38
0.0,Wed Mar 28 10:53:47 +0000 2018,BBC,1.0,0.0,0.0,"RT @bbcthree: In our latest doc, we investigate allegations that R Kelly has been training a 14-year-old girl to be one his sex ""pets"" http…",39
-0.3612,Wed Mar 28 10:33:03 +0000 2018,BBC,0.865,0.135,0.0,Tickling sticks have been placed on statues in Liverpool ahead of Sir Ken Dodd's funeral. https://t.co/pPGGg07ZQi https://t.co/LSwzv5Qipw,40
0.784,Thu Mar 29 08:00:12 +0000 2018,BBC,0.655,0.0,0.345,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031,41
0.0,Thu Mar 29 07:27:07 +0000 2018,BBC,1.0,0.0,0.0,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi,42
0.0,Thu Mar 29 07:00:10 +0000 2018,BBC,1.0,0.0,0.0,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m",43
0.0,Wed Mar 28 18:00:05 +0000 2018,BBC,1.0,0.0,0.0,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW,44
0.296,Wed Mar 28 17:00:12 +0000 2018,BBC,0.891,0.0,0.109,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N",45
-0.8225,Wed Mar 28 16:30:00 +0000 2018,BBC,0.688,0.312,0.0,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP,46
0.0,Wed Mar 28 16:00:10 +0000 2018,BBC,1.0,0.0,0.0,Slacking off in Dubai. https://t.co/a3oSKIxfSK,47
0.7506,Wed Mar 28 15:35:27 +0000 2018,BBC,0.72,0.0,0.28,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…,48
0.0,Wed Mar 28 13:32:04 +0000 2018,BBC,1.0,0.0,0.0,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1",49
-0.3182,Wed Mar 28 12:26:01 +0000 2018,BBC,0.887,0.113,0.0,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO",50
0.0,Wed Mar 28 11:50:54 +0000 2018,BBC,1.0,0.0,0.0,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…,51
0.0,Wed Mar 28 11:49:07 +0000 2018,BBC,1.0,0.0,0.0,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…",52
0.0,Wed Mar 28 11:47:35 +0000 2018,BBC,1.0,0.0,0.0,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…",53
-0.34,Wed Mar 28 11:47:08 +0000 2018,BBC,0.902,0.098,0.0,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…",54
0.0,Wed Mar 28 11:45:32 +0000 2018,BBC,1.0,0.0,0.0,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…,55
0.0,Wed Mar 28 11:42:34 +0000 2018,BBC,1.0,0.0,0.0,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…,56
0.3182,Wed Mar 28 11:30:09 +0000 2018,BBC,0.837,0.056,0.108,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3,57
0.0,Wed Mar 28 11:04:03 +0000 2018,BBC,1.0,0.0,0.0,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu",58
0.0,Wed Mar 28 10:53:47 +0000 2018,BBC,1.0,0.0,0.0,"RT @bbcthree: In our latest doc, we investigate allegations that R Kelly has been training a 14-year-old girl to be one his sex ""pets"" http…",59
-0.3612,Wed Mar 28 10:33:03 +0000 2018,BBC,0.865,0.135,0.0,Tickling sticks have been placed on statues in Liverpool ahead of Sir Ken Dodd's funeral. https://t.co/pPGGg07ZQi https://t.co/LSwzv5Qipw,60
0.784,Thu Mar 29 08:00:12 +0000 2018,BBC,0.655,0.0,0.345,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031,61
0.0,Thu Mar 29 07:27:07 +0000 2018,BBC,1.0,0.0,0.0,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi,62
0.0,Thu Mar 29 07:00:10 +0000 2018,BBC,1.0,0.0,0.0,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m",63
0.0,Wed Mar 28 18:00:05 +0000 2018,BBC,1.0,0.0,0.0,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW,64
0.296,Wed Mar 28 17:00:12 +0000 2018,BBC,0.891,0.0,0.109,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N",65
-0.8225,Wed Mar 28 16:30:00 +0000 2018,BBC,0.688,0.312,0.0,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP,66
0.0,Wed Mar 28 16:00:10 +0000 2018,BBC,1.0,0.0,0.0,Slacking off in Dubai. https://t.co/a3oSKIxfSK,67
0.7506,Wed Mar 28 15:35:27 +0000 2018,BBC,0.72,0.0,0.28,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…,68
0.0,Wed Mar 28 13:32:04 +0000 2018,BBC,1.0,0.0,0.0,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1",69
-0.3182,Wed Mar 28 12:26:01 +0000 2018,BBC,0.887,0.113,0.0,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO",70
0.0,Wed Mar 28 11:50:54 +0000 2018,BBC,1.0,0.0,0.0,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…,71
0.0,Wed Mar 28 11:49:07 +0000 2018,BBC,1.0,0.0,0.0,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…",72
0.0,Wed Mar 28 11:47:35 +0000 2018,BBC,1.0,0.0,0.0,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…",73
-0.34,Wed Mar 28 11:47:08 +0000 2018,BBC,0.902,0.098,0.0,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…",74
0.0,Wed Mar 28 11:45:32 +0000 2018,BBC,1.0,0.0,0.0,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…,75
0.0,Wed Mar 28 11:42:34 +0000 2018,BBC,1.0,0.0,0.0,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…,76
0.3182,Wed Mar 28 11:30:09 +0000 2018,BBC,0.837,0.056,0.108,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3,77
0.0,Wed Mar 28 11:04:03 +0000 2018,BBC,1.0,0.0,0.0,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu",78
0.0,Wed Mar 28 10:53:47 +0000 2018,BBC,1.0,0.0,0.0,"RT @bbcthree: In our latest doc, we investigate allegations that R Kelly has been training a 14-year-old girl to be one his sex ""pets"" http…",79
-0.3612,Wed Mar 28 10:33:03 +0000 2018,BBC,0.865,0.135,0.0,Tickling sticks have been placed on statues in Liverpool ahead of Sir Ken Dodd's funeral. https://t.co/pPGGg07ZQi https://t.co/LSwzv5Qipw,80
0.784,Thu Mar 29 08:00:12 +0000 2018,BBC,0.655,0.0,0.345,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031,81
0.0,Thu Mar 29 07:27:07 +0000 2018,BBC,1.0,0.0,0.0,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi,82
0.0,Thu Mar 29 07:00:10 +0000 2018,BBC,1.0,0.0,0.0,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m",83
0.0,Wed Mar 28 18:00:05 +0000 2018,BBC,1.0,0.0,0.0,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW,84
0.296,Wed Mar 28 17:00:12 +0000 2018,BBC,0.891,0.0,0.109,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N",85
-0.8225,Wed Mar 28 16:30:00 +0000 2018,BBC,0.688,0.312,0.0,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP,86
0.0,Wed Mar 28 16:00:10 +0000 2018,BBC,1.0,0.0,0.0,Slacking off in Dubai. https://t.co/a3oSKIxfSK,87
0.7506,Wed Mar 28 15:35:27 +0000 2018,BBC,0.72,0.0,0.28,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…,88
0.0,Wed Mar 28 13:32:04 +0000 2018,BBC,1.0,0.0,0.0,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1",89
-0.3182,Wed Mar 28 12:26:01 +0000 2018,BBC,0.887,0.113,0.0,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO",90
0.0,Wed Mar 28 11:50:54 +0000 2018,BBC,1.0,0.0,0.0,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…,91
0.0,Wed Mar 28 11:49:07 +0000 2018,BBC,1.0,0.0,0.0,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…",92
0.0,Wed Mar 28 11:47:35 +0000 2018,BBC,1.0,0.0,0.0,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…",93
-0.34,Wed Mar 28 11:47:08 +0000 2018,BBC,0.902,0.098,0.0,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…",94
0.0,Wed Mar 28 11:45:32 +0000 2018,BBC,1.0,0.0,0.0,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…,95
0.0,Wed Mar 28 11:42:34 +0000 2018,BBC,1.0,0.0,0.0,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…,96
0.3182,Wed Mar 28 11:30:09 +0000 2018,BBC,0.837,0.056,0.108,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3,97
0.0,Wed Mar 28 11:04:03 +0000 2018,BBC,1.0,0.0,0.0,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu",98
0.0,Wed Mar 28 10:53:47 +0000 2018,BBC,1.0,0.0,0.0,"RT @bbcthree: In our latest doc, we investigate allegations that R Kelly has been training a 14-year-old girl to be one his sex ""pets"" http…",99
-0.3612,Wed Mar 28 10:33:03 +0000 2018,BBC,0.865,0.135,0.0,Tickling sticks have been placed on statues in Liverpool ahead of Sir Ken Dodd's funeral. https://t.co/pPGGg07ZQi https://t.co/LSwzv5Qipw,100
0.3818,Tue Mar 27 21:00:01 +0000 2018,CBS,0.68,0.108,0.212,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu,1
0.296,Tue Mar 27 17:00:00 +0000 2018,CBS,0.901,0.0,0.099,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj,2
0.508,Mon Mar 26 22:14:25 +0000 2018,CBS,0.88,0.0,0.12,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…",3
0.0,Mon Mar 26 20:42:48 +0000 2018,CBS,1.0,0.0,0.0,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…",4
0.7959,Mon Mar 26 16:59:19 +0000 2018,CBS,0.786,0.0,0.214,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…,5
0.807,Mon Mar 26 16:05:18 +0000 2018,CBS,0.622,0.0,0.378,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj",6
0.0,Sun Mar 25 23:57:34 +0000 2018,CBS,1.0,0.0,0.0,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs,7
0.5319,Sun Mar 25 17:15:25 +0000 2018,CBS,0.78,0.062,0.157,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR,8
0.5399,Sat Mar 24 22:46:53 +0000 2018,CBS,0.801,0.0,0.199,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P,9
-0.34,Sat Mar 24 22:46:43 +0000 2018,CBS,0.7,0.185,0.115,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest,10
0.7003,Sat Mar 24 22:25:03 +0000 2018,CBS,0.791,0.0,0.209,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…",11
0.0,Sat Mar 24 22:21:37 +0000 2018,CBS,1.0,0.0,0.0,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜,12
0.0,Sat Mar 24 22:21:34 +0000 2018,CBS,1.0,0.0,0.0,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…",13
0.7184,Sat Mar 24 22:21:26 +0000 2018,CBS,0.667,0.0,0.333,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest",14
0.9451,Sat Mar 24 22:21:23 +0000 2018,CBS,0.58,0.0,0.42,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…,15
0.0,Sat Mar 24 20:00:02 +0000 2018,CBS,1.0,0.0,0.0,"Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nomi… https://t.co/oT5ogjdj4x",16
0.6996,Fri Mar 23 22:33:52 +0000 2018,CBS,0.806,0.0,0.194,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW,17
0.4939,Fri Mar 23 22:33:04 +0000 2018,CBS,0.686,0.0,0.314,RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU,18
0.8997,Fri Mar 23 22:32:48 +0000 2018,CBS,0.645,0.0,0.355,"RT @HawaiiFive0CBS: Nothing like a man and his dog! 😍🐶 Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…",19
0.0,Thu Mar 22 22:10:29 +0000 2018,CBS,1.0,0.0,0.0,Game on! 16 teams left and the race to the finish continues tonight. Stream #11 Loyola-Chicago vs #7 Nevada LIVE at… https://t.co/W374rmzzoC,20
0.3818,Tue Mar 27 21:00:01 +0000 2018,CBS,0.68,0.108,0.212,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu,21
